Lib_GGA.65_S2_R1_001	Lib_GGA.71_S4_R1_001	Lib_GGA.88_S6_R1_001	Lib_GGA.90_S8_R1_001	Lib_GGA.64_S1_R1_001	Lib_GGA.70_S3_R1_001	Lib_GGA.87_S5_R1_001	Lib_GGA.89_S7_R1_001
HPSE	3.92803187900815	3.90306306744686	2.789037715448	3.33302810292664	6.47037824314549	6.25120223441756	5.33454729641626	5.19332789594647
TGFBR3	4.84006976378656	4.10051956957322	5.70051692159903	4.30600615459818	6.83831886927064	6.56754932565411	7.54683737855656	6.66670698586266
CD109	7.13410932870094	6.62308358907089	7.7917296650206	6.74978093388989	5.61489868337243	5.22256103418481	5.98682328161138	5.10934504552126
IKZF1	7.83101622272426	7.82758870947254	7.61477143077737	7.94048973173882	9.09751800910001	9.01765883538411	8.86711668252474	9.03620725878673
IKZF4	6.80572796322459	6.77782877319688	6.65318356348931	6.49266745348363	5.2141986274111	5.22395881892135	5.33313684588579	5.10934504552126
GRAMD1B	5.19118788703831	5.40947391965547	4.41961393044508	5.21690360985197	6.84898195532748	7.01744616531564	6.22978120728598	6.5938469678137
DBN1	3.71836846563622	3.65702613216759	4.37464022496297	4.13663695471684	5.35085777460657	5.22814406581949	5.82164021443121	5.80349316803184
RTKN	2.91068344851497	2.95125508997267	3.16963060736162	3.31044658314291	0.664886989186792	0.556314659576759	0.519776391562301	0.679805477967254
DPP4	5.07197046903753	5.36381240214147	4.3198700407045	6.72171059287735	7.66184827736819	8.22318881319335	7.55502787632211	8.90162204161679
LBH	8.02594749225312	7.9418745714346	8.38564678503083	8.14356474702636	6.34559023990308	5.66061798897087	6.39571196295977	6.47135634720081
BMPR2	6.26583615651679	5.94149639923554	5.88444219303467	5.5368395360327	4.47962923629839	4.31416770178684	4.38899667799076	4.11182937185317
CRIP2	3.54542520101338	3.52575365072688	4.55619818902969	3.27005792508991	0.582678797128817	0.195059913464984	0.395547847620395	0.379578683815758
CD9	6.89115822229043	8.32501803524948	8.81259864576555	6.70719783339548	4.7149000427799	6.73914755042237	7.12145622431389	4.96563046934289
MT1G	0.878762536790659	0.613208615608487	1.60778669789586	0.701341706737575	4.18217672903998	3.20410847065563	4.63319202133184	2.7236491865764
CXCR6	5.54815030726667	5.92631875611715	3.50035234759326	5.39380032471587	7.25195677828419	7.889049152616	5.9245005331742	7.54830205732141
GZMA	6.64133772205768	6.68486633438343	5.84231338853931	7.27794418276127	8.27679321442957	9.15506500469063	7.99217655551169	9.28850947121424
TFEB	5.28728391357031	5.11880598246569	5.23081762356202	5.54532558517088	3.66443838777876	3.23216319267686	3.20803761614656	3.84727572185566
SNX18	2.75642563871074	2.36781674167466	1.9191379075972	2.40704322828702	4.74670810616756	4.3167901659327	4.09154086850116	4.33530598892348
ATP8B4	5.53397401960784	6.09470397877464	5.35041329777605	5.08841127324963	7.74234929339487	8.03414942521224	7.10749863405376	7.64420715390763
SMAD3	3.36499618428662	3.35489961742232	2.95637872491566	3.25830754083858	5.51777154179586	5.98962439727476	5.37211738443699	6.45226857760537
ATP1B1	3.386194898038	3.86236189194652	5.29753495210706	3.79007698436574	0.691280692260677	1.22597712012439	2.12153708796961	1.54529229386263
THBS1	5.33848165366479	4.22832036718708	5.85585192116829	3.79415172411147	0.495501616599547	0.72375307998876	1.6089862508618	0.746023956043924
STAU2	5.60576308754674	5.33299964721133	5.0591995465956	5.26025984941592	6.84310862187748	6.76145798934443	6.47969867365001	6.87525179353881
SMARCA2	8.74962190336479	8.53940264500491	7.72057136157258	8.08677008291628	7.35563938822504	7.37695627588931	6.56748538825337	6.67735194612809
KLF10	7.07087274309177	7.06833599083561	7.4530308041852	7.13546952613902	5.68306373878279	5.0893346128135	5.62357676537722	5.179915440804
CCL5	9.91045716894693	10.2471150271413	9.86136296133995	10.2427421146572	8.03337327112987	8.51928427654638	7.39626545261836	8.49715967410861
